#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Not a chance.
1-1	0-3	Not	NEG	
1-2	4-5	a	SCOPE[2]|FOCUS[3]	
1-3	6-12	chance	SCOPE[2]|FOCUS[3]	
1-4	12-13	.	_	

#Text=Uber drivers are rated - instantly, online - by their passengers.
2-1	14-18	Uber	_	
2-2	19-26	drivers	_	
2-3	27-30	are	_	
2-4	31-36	rated	_	
2-5	37-38	-	_	
2-6	39-48	instantly	_	
2-7	48-49	,	_	
2-8	50-56	online	_	
2-9	57-58	-	_	
2-10	59-61	by	_	
2-11	62-67	their	_	
2-12	68-78	passengers	_	
2-13	78-79	.	_	

#Text=For really bad ratings, Uber contacts the passenger directly (via email).
3-1	80-83	For	_	
3-2	84-90	really	_	
3-3	91-94	bad	_	
3-4	95-102	ratings	_	
3-5	102-103	,	_	
3-6	104-108	Uber	_	
3-7	109-117	contacts	_	
3-8	118-121	the	_	
3-9	122-131	passenger	_	
3-10	132-140	directly	_	
3-11	141-142	(	_	
3-12	142-145	via	_	
3-13	146-151	email	_	
3-14	151-152	)	_	
3-15	152-153	.	_	

#Text=Any complaint of decrepit etc. cars gets the driver suspended.On the other hand, if a drunken passenger throws up in an Uber car, all the driver needs to do is email a picture to Uber and he gets fully reimbursed.
4-1	154-157	Any	_	
4-2	158-167	complaint	_	
4-3	168-170	of	_	
4-4	171-179	decrepit	_	
4-5	180-183	etc	_	
4-6	183-184	.	_	
4-7	185-189	cars	_	
4-8	190-194	gets	_	
4-9	195-198	the	_	
4-10	199-205	driver	_	
4-11	206-218	suspended.On	_	
4-12	219-222	the	_	
4-13	223-228	other	_	
4-14	229-233	hand	_	
4-15	233-234	,	_	
4-16	235-237	if	_	
4-17	238-239	a	_	
4-18	240-247	drunken	_	
4-19	248-257	passenger	_	
4-20	258-264	throws	_	
4-21	265-267	up	_	
4-22	268-270	in	_	
4-23	271-273	an	_	
4-24	274-278	Uber	_	
4-25	279-282	car	_	
4-26	282-283	,	_	
4-27	284-287	all	_	
4-28	288-291	the	_	
4-29	292-298	driver	_	
4-30	299-304	needs	_	
4-31	305-307	to	_	
4-32	308-310	do	_	
4-33	311-313	is	_	
4-34	314-319	email	_	
4-35	320-321	a	_	
4-36	322-329	picture	_	
4-37	330-332	to	_	
4-38	333-337	Uber	_	
4-39	338-341	and	_	
4-40	342-344	he	_	
4-41	345-349	gets	_	
4-42	350-355	fully	_	
4-43	356-366	reimbursed	_	
4-44	366-367	.	_	

#Text=Uber charges the amount to the drunken passenger's credit card.Try complaining about crappy taxi-cabs!
5-1	368-372	Uber	_	
5-2	373-380	charges	_	
5-3	381-384	the	_	
5-4	385-391	amount	_	
5-5	392-394	to	_	
5-6	395-398	the	_	
5-7	399-406	drunken	_	
5-8	407-418	passenger's	_	
5-9	419-425	credit	_	
5-10	426-434	card.Try	_	
5-11	435-446	complaining	_	
5-12	447-452	about	_	
5-13	453-459	crappy	_	
5-14	460-469	taxi-cabs	_	
5-15	469-470	!	_	

#Text=Or, if you are a cabby, try getting reimbursed from your drunken passenger.
6-1	471-473	Or	_	
6-2	473-474	,	_	
6-3	475-477	if	_	
6-4	478-481	you	_	
6-5	482-485	are	_	
6-6	486-487	a	_	
6-7	488-493	cabby	_	
6-8	493-494	,	_	
6-9	495-498	try	_	
6-10	499-506	getting	_	
6-11	507-517	reimbursed	_	
6-12	518-522	from	_	
6-13	523-527	your	_	
6-14	528-535	drunken	_	
6-15	536-545	passenger	_	
6-16	545-546	.	_	
