#FORMAT=WebAnno TSV 3.1


#Text=MARGARET WENTEIf Trump wins, I\u2019ll eat this columnMARGARET WENTEThe Globe and MailPublished Friday, Mar. 18, 2016 10:43AM EDTLast updated Wednesday, Nov. 09, 2016 1:37AM ESTout of touch with reality
1-1	0-8	MARGARET	
1-2	9-16	WENTEIf	
1-3	17-22	Trump	
1-4	23-27	wins	
1-5	27-28	,	
1-6	29-30	I	
1-7	30-31	’	
1-8	31-33	ll	
1-9	34-37	eat	
1-10	38-42	this	
1-11	43-57	columnMARGARET	
1-12	58-66	WENTEThe	
1-13	67-72	Globe	
1-14	73-76	and	
1-15	77-90	MailPublished	
1-16	91-97	Friday	
1-17	97-98	,	
1-18	99-102	Mar	
1-19	102-103	.	
1-20	104-106	18	
1-21	106-107	,	
1-22	108-112	2016	
1-23	113-115	10	
1-24	115-116	:	
1-25	116-120	43AM	
1-26	121-128	EDTLast	
1-27	129-136	updated	
1-28	137-146	Wednesday	
1-29	146-147	,	
1-30	148-151	Nov	
1-31	151-152	.	
1-32	153-155	09	
1-33	155-156	,	
1-34	157-161	2016	
1-35	162-163	1	
1-36	163-164	:	
1-37	164-168	37AM	
1-38	169-175	ESTout	
1-39	176-178	of	
1-40	179-184	touch	
1-41	185-189	with	
1-42	190-197	reality	
