#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=No.
1-1	0-2	No	NEG	
1-2	2-3	.	_	

#Text=It is a colour-blind tax designed to discourage the wealthy.
2-1	4-6	It	_	
2-2	7-9	is	_	
2-3	10-11	a	_	
2-4	12-24	colour-blind	_	
2-5	25-28	tax	_	
2-6	29-37	designed	_	
2-7	38-40	to	_	
2-8	41-51	discourage	_	
2-9	52-55	the	_	
2-10	56-63	wealthy	_	
2-11	63-64	.	_	

#Text=It affects a wealthy WASP American buyer in the same way it affects any other non-WASP demographic.Enough said.
3-1	65-67	It	_	
3-2	68-75	affects	_	
3-3	76-77	a	_	
3-4	78-85	wealthy	_	
3-5	86-90	WASP	_	
3-6	91-99	American	_	
3-7	100-105	buyer	_	
3-8	106-108	in	_	
3-9	109-112	the	_	
3-10	113-117	same	_	
3-11	118-121	way	_	
3-12	122-124	it	_	
3-13	125-132	affects	_	
3-14	133-136	any	_	
3-15	137-142	other	_	
3-16	143-151	non-WASP	_	
3-17	152-170	demographic.Enough	_	
3-18	171-175	said	_	
3-19	175-176	.	_	

#Text=Drop the race card.
4-1	177-181	Drop	_	
4-2	182-185	the	_	
4-3	186-190	race	_	
4-4	191-195	card	_	
4-5	195-196	.	_	

#Text=Next issue please.
5-1	197-201	Next	_	
5-2	202-207	issue	_	
5-3	208-214	please	_	
5-4	214-215	.	_	
