#FORMAT=WebAnno TSV 3.1


#Text=The fact it measure heart rate, blood pressure, etc is what worries me the most.This could very well be one more step in the march towards big brother.
1-1	0-3	The	
1-2	4-8	fact	
1-3	9-11	it	
1-4	12-19	measure	
1-5	20-25	heart	
1-6	26-30	rate	
1-7	30-31	,	
1-8	32-37	blood	
1-9	38-46	pressure	
1-10	46-47	,	
1-11	48-51	etc	
1-12	52-54	is	
1-13	55-59	what	
1-14	60-67	worries	
1-15	68-70	me	
1-16	71-74	the	
1-17	75-84	most.This	
1-18	85-90	could	
1-19	91-95	very	
1-20	96-100	well	
1-21	101-103	be	
1-22	104-107	one	
1-23	108-112	more	
1-24	113-117	step	
1-25	118-120	in	
1-26	121-124	the	
1-27	125-130	march	
1-28	131-138	towards	
1-29	139-142	big	
1-30	143-150	brother	
1-31	150-151	.	

#Text=Insurance companies will love that they can retrieve this information when making policy decisions, on signing them and paying them.
2-1	153-162	Insurance	
2-2	163-172	companies	
2-3	173-177	will	
2-4	178-182	love	
2-5	183-187	that	
2-6	188-192	they	
2-7	193-196	can	
2-8	197-205	retrieve	
2-9	206-210	this	
2-10	211-222	information	
2-11	223-227	when	
2-12	228-234	making	
2-13	235-241	policy	
2-14	242-251	decisions	
2-15	251-252	,	
2-16	253-255	on	
2-17	256-263	signing	
2-18	264-268	them	
2-19	269-272	and	
2-20	273-279	paying	
2-21	280-284	them	
2-22	284-285	.	
