#FORMAT=WebAnno TSV 3.1


#Text=The recent deployment in S Korea of  US THAAD systems threatens China's (sense of) balance of nuclear deterrent...The re emergence of a Japanese military and better US ties with Japan,Vietnam,the Philippines etc only increases their anxiety.Local history has left China with a lot of grudges.Its a brawl just waiting to happen...
1-1	0-3	The	
1-2	4-10	recent	
1-3	11-21	deployment	
1-4	22-24	in	
1-5	25-26	S	
1-6	27-32	Korea	
1-7	33-35	of	
1-8	37-39	US	
1-9	40-45	THAAD	
1-10	46-53	systems	
1-11	54-63	threatens	
1-12	64-71	China's	
1-13	72-73	(	
1-14	73-78	sense	
1-15	79-81	of	
1-16	81-82	)	
1-17	83-90	balance	
1-18	91-93	of	
1-19	94-101	nuclear	
1-20	102-111	deterrent	
1-21	111-112	.	
1-22	112-113	.	
1-23	113-114	.	
1-24	114-117	The	
1-25	118-120	re	
1-26	121-130	emergence	
1-27	131-133	of	
1-28	134-135	a	
1-29	136-144	Japanese	
1-30	145-153	military	
1-31	154-157	and	
1-32	158-164	better	
1-33	165-167	US	
1-34	168-172	ties	
1-35	173-177	with	
1-36	178-183	Japan	
1-37	183-184	,	
1-38	184-191	Vietnam	
1-39	191-192	,	
1-40	192-195	the	
1-41	196-207	Philippines	
1-42	208-211	etc	
1-43	212-216	only	
1-44	217-226	increases	
1-45	227-232	their	
1-46	233-246	anxiety.Local	
1-47	247-254	history	
1-48	255-258	has	
1-49	259-263	left	
1-50	264-269	China	
1-51	270-274	with	
1-52	275-276	a	
1-53	277-280	lot	
1-54	281-283	of	
1-55	284-295	grudges.Its	
1-56	296-297	a	
1-57	298-303	brawl	
1-58	304-308	just	
1-59	309-316	waiting	
1-60	317-319	to	
1-61	320-326	happen	
1-62	326-327	.	
1-63	327-328	.	
1-64	328-329	.	
