#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Not only shouldn't you be fooled by the surprise budget surplus but you should be fairly disgusted by it.
1-1	0-3	Not	NEG	
1-2	4-8	only	SCOPE[2]|FOCUS[3]	
1-3	9-18	shouldn't	SCOPE[2]|NEG[4]	
1-4	19-22	you	SCOPE[2]|SCOPE[5]	
1-5	23-25	be	SCOPE[2]|SCOPE[5]	
1-6	26-32	fooled	SCOPE[2]|SCOPE[5]	
1-7	33-35	by	SCOPE[2]|SCOPE[5]	
1-8	36-39	the	SCOPE[2]|SCOPE[5]|FOCUS[6]	
1-9	40-48	surprise	SCOPE[2]|SCOPE[5]|FOCUS[6]	
1-10	49-55	budget	SCOPE[2]|SCOPE[5]|FOCUS[6]	
1-11	56-63	surplus	SCOPE[2]|SCOPE[5]|FOCUS[6]	
1-12	64-67	but	_	
1-13	68-71	you	_	
1-14	72-78	should	_	
1-15	79-81	be	_	
1-16	82-88	fairly	_	
1-17	89-98	disgusted	_	
1-18	99-101	by	_	
1-19	102-104	it	_	
1-20	104-105	.	_	

#Text=Harper is cooking the books with our money in order to get himself re-elected.
2-1	106-112	Harper	_	
2-2	113-115	is	_	
2-3	116-123	cooking	_	
2-4	124-127	the	_	
2-5	128-133	books	_	
2-6	134-138	with	_	
2-7	139-142	our	_	
2-8	143-148	money	_	
2-9	149-151	in	_	
2-10	152-157	order	_	
2-11	158-160	to	_	
2-12	161-164	get	_	
2-13	165-172	himself	_	
2-14	173-183	re-elected	_	
2-15	183-184	.	_	

#Text=Think of it.
3-1	185-190	Think	_	
3-2	191-193	of	_	
3-3	194-196	it	_	
3-4	196-197	.	_	

#Text=Thirty-five million of us; one of him.
4-1	198-209	Thirty-five	_	
4-2	210-217	million	_	
4-3	218-220	of	_	
4-4	221-223	us	_	
4-5	223-224	;	_	
4-6	225-228	one	_	
4-7	229-231	of	_	
4-8	232-235	him	_	
4-9	235-236	.	_	

#Text=And who is more important?
5-1	237-240	And	_	
5-2	241-244	who	_	
5-3	245-247	is	_	
5-4	248-252	more	_	
5-5	253-262	important	_	
5-6	262-263	?	_	
