#FORMAT=WebAnno TSV 3.1


#Text='This return to near normalcy, rather than any specific government decisions, flipped the federal budget from postrecession deficits to near-balance, and now to surplus.'
1-1	0-1	'	
1-2	1-5	This	
1-3	6-12	return	
1-4	13-15	to	
1-5	16-20	near	
1-6	21-29	normalcy	
1-7	29-30	,	
1-8	31-37	rather	
1-9	38-42	than	
1-10	43-46	any	
1-11	47-55	specific	
1-12	56-66	government	
1-13	67-76	decisions	
1-14	76-77	,	
1-15	78-85	flipped	
1-16	86-89	the	
1-17	90-97	federal	
1-18	98-104	budget	
1-19	105-109	from	
1-20	110-123	postrecession	
1-21	124-132	deficits	
1-22	133-135	to	
1-23	136-148	near-balance	
1-24	148-149	,	
1-25	150-153	and	
1-26	154-157	now	
1-27	158-160	to	
1-28	161-168	surplus	
1-29	168-169	.	
1-30	169-170	'	

#Text=In other words, if you get the economy right, the budget balances itself!!!!
2-1	170-172	In	
2-2	173-178	other	
2-3	179-184	words	
2-4	184-185	,	
2-5	186-188	if	
2-6	189-192	you	
2-7	193-196	get	
2-8	197-200	the	
2-9	201-208	economy	
2-10	209-214	right	
2-11	214-215	,	
2-12	216-219	the	
2-13	220-226	budget	
2-14	227-235	balances	
2-15	236-242	itself	
2-16	242-243	!	
2-17	243-244	!	
2-18	244-245	!	
2-19	245-246	!	

#Text=Now who said that again??
3-1	246-249	Now	
3-2	250-253	who	
3-3	254-258	said	
3-4	259-263	that	
3-5	264-269	again	
3-6	269-270	?	
3-7	270-271	?	
