#FORMAT=WebAnno TSV 3.1


#Text=Hmm I have , much of this nonsense is nonsense,,, but keep trying you may convince yourself, me,,, I'm waiting, we charge by the hour,,,, LOL
1-1	0-3	Hmm	
1-2	4-5	I	
1-3	6-10	have	
1-4	11-12	,	
1-5	13-17	much	
1-6	18-20	of	
1-7	21-25	this	
1-8	26-34	nonsense	
1-9	35-37	is	
1-10	38-46	nonsense	
1-11	46-47	,	
1-12	47-48	,	
1-13	48-49	,	
1-14	50-53	but	
1-15	54-58	keep	
1-16	59-65	trying	
1-17	66-69	you	
1-18	70-73	may	
1-19	74-82	convince	
1-20	83-91	yourself	
1-21	91-92	,	
1-22	93-95	me	
1-23	95-96	,	
1-24	96-97	,	
1-25	97-98	,	
1-26	99-102	I'm	
1-27	103-110	waiting	
1-28	110-111	,	
1-29	112-114	we	
1-30	115-121	charge	
1-31	122-124	by	
1-32	125-128	the	
1-33	129-133	hour	
1-34	133-134	,	
1-35	134-135	,	
1-36	135-136	,	
1-37	136-137	,	
1-38	138-141	LOL	
