#FORMAT=WebAnno TSV 3.1


#Text=Golly you're just so clever and prescient Jeffy.You knew this was coming all along, and predicted it perfectly.After it happened that is.You crystal ball gazer you.Too funny.
1-1	0-5	Golly	
1-2	6-12	you're	
1-3	13-17	just	
1-4	18-20	so	
1-5	21-27	clever	
1-6	28-31	and	
1-7	32-41	prescient	
1-8	42-51	Jeffy.You	
1-9	52-56	knew	
1-10	57-61	this	
1-11	62-65	was	
1-12	66-72	coming	
1-13	73-76	all	
1-14	77-82	along	
1-15	82-83	,	
1-16	84-87	and	
1-17	88-97	predicted	
1-18	98-100	it	
1-19	101-116	perfectly.After	
1-20	117-119	it	
1-21	120-128	happened	
1-22	129-133	that	
1-23	134-140	is.You	
1-24	141-148	crystal	
1-25	149-153	ball	
1-26	154-159	gazer	
1-27	160-167	you.Too	
1-28	168-173	funny	
1-29	173-174	.	
