#FORMAT=WebAnno TSV 3.1


#Text=Better believe it.
1-1	0-6	Better	
1-2	7-14	believe	
1-3	15-17	it	
1-4	17-18	.	

#Text=The incompetence of the Belgian police and the political class (add corruption here) is beyond belief.
2-1	19-22	The	
2-2	23-35	incompetence	
2-3	36-38	of	
2-4	39-42	the	
2-5	43-50	Belgian	
2-6	51-57	police	
2-7	58-61	and	
2-8	62-65	the	
2-9	66-75	political	
2-10	76-81	class	
2-11	82-83	(	
2-12	83-86	add	
2-13	87-97	corruption	
2-14	98-102	here	
2-15	102-103	)	
2-16	104-106	is	
2-17	107-113	beyond	
2-18	114-120	belief	
2-19	120-121	.	

#Text=Filling forms is more important part of any job.Walloons are the laziest and least productive poeple I've ever come across.
3-1	122-129	Filling	
3-2	130-135	forms	
3-3	136-138	is	
3-4	139-143	more	
3-5	144-153	important	
3-6	154-158	part	
3-7	159-161	of	
3-8	162-165	any	
3-9	166-178	job.Walloons	
3-10	179-182	are	
3-11	183-186	the	
3-12	187-194	laziest	
3-13	195-198	and	
3-14	199-204	least	
3-15	205-215	productive	
3-16	216-222	poeple	
3-17	223-227	I've	
3-18	228-232	ever	
3-19	233-237	come	
3-20	238-244	across	
3-21	244-245	.	

#Text=Always late at work and ready to leave at 15.00 hrs.Worked there for almost a decade.
4-1	246-252	Always	
4-2	253-257	late	
4-3	258-260	at	
4-4	261-265	work	
4-5	266-269	and	
4-6	270-275	ready	
4-7	276-278	to	
4-8	279-284	leave	
4-9	285-287	at	
4-10	288-293	15.00	
4-11	294-304	hrs.Worked	
4-12	305-310	there	
4-13	311-314	for	
4-14	315-321	almost	
4-15	322-323	a	
4-16	324-330	decade	
4-17	330-331	.	
