#FORMAT=WebAnno TSV 3.1


#Text=In WW 1 the 'Canadian' Army was predominantly citizens and attestation papers often show the next of kin as a parent/s or spouse living in UK.
1-1	0-2	In	
1-2	3-5	WW	
1-3	6-7	1	
1-4	8-11	the	
1-5	12-13	'	
1-6	13-21	Canadian	
1-7	21-22	'	
1-8	23-27	Army	
1-9	28-31	was	
1-10	32-45	predominantly	
1-11	46-54	citizens	
1-12	55-58	and	
1-13	59-70	attestation	
1-14	71-77	papers	
1-15	78-83	often	
1-16	84-88	show	
1-17	89-92	the	
1-18	93-97	next	
1-19	98-100	of	
1-20	101-104	kin	
1-21	105-107	as	
1-22	108-109	a	
1-23	110-116	parent	
1-24	116-117	/	
1-25	117-118	s	
1-26	119-121	or	
1-27	122-128	spouse	
1-28	129-135	living	
1-29	136-138	in	
1-30	139-141	UK	
1-31	141-142	.	
