#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Without significant changes, the aging population will wreck Canada's finances.Have to reign in these healthcare costs...maybe start with a national drug purchase strategy.
1-1	0-7	Without	NEG	
1-2	8-19	significant	SCOPE[2]|FOCUS[3]	
1-3	20-27	changes	SCOPE[2]	
1-4	27-28	,	_	
1-5	29-32	the	_	
1-6	33-38	aging	_	
1-7	39-49	population	_	
1-8	50-54	will	_	
1-9	55-60	wreck	_	
1-10	61-69	Canada's	_	
1-11	70-83	finances.Have	_	
1-12	84-86	to	_	
1-13	87-92	reign	_	
1-14	93-95	in	_	
1-15	96-101	these	_	
1-16	102-112	healthcare	_	
1-17	113-118	costs	_	
1-18	118-119	.	_	
1-19	119-120	.	_	
1-20	120-121	.	_	
1-21	121-126	maybe	_	
1-22	127-132	start	_	
1-23	133-137	with	_	
1-24	138-139	a	_	
1-25	140-148	national	_	
1-26	149-153	drug	_	
1-27	154-162	purchase	_	
1-28	163-171	strategy	_	
1-29	171-172	.	_	
