#FORMAT=WebAnno TSV 3.1


#Text=Methinks it is evolving into merely another religious movement - the Apple sect, the Blackberry worshippers, the more primitive nature worshippers of tape drives, and the truly archaic tribes rumored to have evolved from 8-Track technology of the latest archeological digs ....I hope you all realize that this is the path of least resistance to mind control - emanating from the marketing divisions of corporate mother ships floating in the ether !
1-1	0-8	Methinks	
1-2	9-11	it	
1-3	12-14	is	
1-4	15-23	evolving	
1-5	24-28	into	
1-6	29-35	merely	
1-7	36-43	another	
1-8	44-53	religious	
1-9	54-62	movement	
1-10	63-64	-	
1-11	65-68	the	
1-12	69-74	Apple	
1-13	75-79	sect	
1-14	79-80	,	
1-15	81-84	the	
1-16	85-95	Blackberry	
1-17	96-107	worshippers	
1-18	107-108	,	
1-19	109-112	the	
1-20	113-117	more	
1-21	118-127	primitive	
1-22	128-134	nature	
1-23	135-146	worshippers	
1-24	147-149	of	
1-25	150-154	tape	
1-26	155-161	drives	
1-27	161-162	,	
1-28	163-166	and	
1-29	167-170	the	
1-30	171-176	truly	
1-31	177-184	archaic	
1-32	185-191	tribes	
1-33	192-199	rumored	
1-34	200-202	to	
1-35	203-207	have	
1-36	208-215	evolved	
1-37	216-220	from	
1-38	221-222	8	
1-39	222-223	-	
1-40	223-228	Track	
1-41	229-239	technology	
1-42	240-242	of	
1-43	243-246	the	
1-44	247-253	latest	
1-45	254-267	archeological	
1-46	268-272	digs	
1-47	273-274	.	
1-48	274-275	.	
1-49	275-276	.	
1-50	276-277	.	
1-51	277-278	I	
1-52	279-283	hope	
1-53	284-287	you	
1-54	288-291	all	
1-55	292-299	realize	
1-56	300-304	that	
1-57	305-309	this	
1-58	310-312	is	
1-59	313-316	the	
1-60	317-321	path	
1-61	322-324	of	
1-62	325-330	least	
1-63	331-341	resistance	
1-64	342-344	to	
1-65	345-349	mind	
1-66	350-357	control	
1-67	358-359	-	
1-68	360-369	emanating	
1-69	370-374	from	
1-70	375-378	the	
1-71	379-388	marketing	
1-72	389-398	divisions	
1-73	399-401	of	
1-74	402-411	corporate	
1-75	412-418	mother	
1-76	419-424	ships	
1-77	425-433	floating	
1-78	434-436	in	
1-79	437-440	the	
1-80	441-446	ether	
1-81	447-448	!	
