#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Huh?
1-1	0-3	Huh	Judgment	neg	
1-2	3-4	?	_	_	

#Text=I am a woman who voted for Trump.
2-1	5-6	I	_	_	
2-2	7-9	am	_	_	
2-3	10-11	a	_	_	
2-4	12-17	woman	_	_	
2-5	18-21	who	_	_	
2-6	22-27	voted	_	_	
2-7	28-31	for	_	_	
2-8	32-37	Trump	_	_	
2-9	37-38	.	_	_	

#Text=Mrs.
3-1	39-42	Mrs	_	_	
3-2	42-43	.	_	_	

#Text=Clinton (even the New York Times reported on this in October) orchestrated attacks on the women who came forward to say Bill Clinton had sexually assaulted them.
4-1	44-51	Clinton	_	_	
4-2	52-53	(	_	_	
4-3	53-57	even	_	_	
4-4	58-61	the	_	_	
4-5	62-65	New	_	_	
4-6	66-70	York	_	_	
4-7	71-76	Times	_	_	
4-8	77-85	reported	_	_	
4-9	86-88	on	_	_	
4-10	89-93	this	_	_	
4-11	94-96	in	_	_	
4-12	97-104	October	_	_	
4-13	104-105	)	_	_	
4-14	106-118	orchestrated	Judgment[2]	neg[2]	
4-15	119-126	attacks	Judgment[2]|Appreciation[3]	neg[2]|neg[3]	
4-16	127-129	on	Judgment[2]	neg[2]	
4-17	130-133	the	Judgment[2]	neg[2]	
4-18	134-139	women	Judgment[2]	neg[2]	
4-19	140-143	who	Judgment[2]	neg[2]	
4-20	144-148	came	Judgment[2]	neg[2]	
4-21	149-156	forward	Judgment[2]	neg[2]	
4-22	157-159	to	Judgment[2]	neg[2]	
4-23	160-163	say	Judgment[2]	neg[2]	
4-24	164-168	Bill	Judgment[2]	neg[2]	
4-25	169-176	Clinton	Judgment[2]	neg[2]	
4-26	177-180	had	Judgment[2]	neg[2]	
4-27	181-189	sexually	Judgment[2]|Judgment[4]	neg[2]|neg[4]	
4-28	190-199	assaulted	Judgment[2]|Judgment[4]	neg[2]|neg[4]	
4-29	200-204	them	Judgment[2]	neg[2]	
4-30	204-205	.	_	_	

#Text=She hired DC private investigator Terry Lentner to go after them.
5-1	206-209	She	_	_	
5-2	210-215	hired	Judgment[5]	neg[5]	
5-3	216-218	DC	Judgment[5]	neg[5]	
5-4	219-226	private	Judgment[5]	neg[5]	
5-5	227-239	investigator	Judgment[5]	neg[5]	
5-6	240-245	Terry	Judgment[5]	neg[5]	
5-7	246-253	Lentner	Judgment[5]	neg[5]	
5-8	254-256	to	Judgment[5]	neg[5]	
5-9	257-259	go	Judgment[5]	neg[5]	
5-10	260-265	after	Judgment[5]	neg[5]	
5-11	266-270	them	Judgment[5]	neg[5]	
5-12	270-271	.	_	_	

#Text=Mrs.
6-1	272-275	Mrs	_	_	
6-2	275-276	.	_	_	

#Text=Clinton was no friend to women if she considered them roadblocks on her desired path to power.
7-1	277-284	Clinton	_	_	
7-2	285-288	was	_	_	
7-3	289-291	no	Judgment[6]	neg[6]	
7-4	292-298	friend	Judgment[6]	neg[6]	
7-5	299-301	to	Judgment[6]	neg[6]	
7-6	302-307	women	Judgment[6]	neg[6]	
7-7	308-310	if	Judgment[6]	neg[6]	
7-8	311-314	she	Judgment[6]	neg[6]	
7-9	315-325	considered	Judgment[6]	neg[6]	
7-10	326-330	them	Judgment[6]	neg[6]	
7-11	331-341	roadblocks	Judgment[6]	neg[6]	
7-12	342-344	on	Judgment[6]	neg[6]	
7-13	345-348	her	Judgment[6]	neg[6]	
7-14	349-356	desired	Judgment[6]	neg[6]	
7-15	357-361	path	Judgment[6]	neg[6]	
7-16	362-364	to	Judgment[6]	neg[6]	
7-17	365-370	power	Judgment[6]	neg[6]	
7-18	370-371	.	_	_	

#Text=Additionally, Donald Trump hired Kellyanne Conway the first female campaign manager in a Presidential campaign.
8-1	372-384	Additionally	_	_	
8-2	384-385	,	_	_	
8-3	386-392	Donald	_	_	
8-4	393-398	Trump	_	_	
8-5	399-404	hired	Judgment[7]	pos[7]	
8-6	405-414	Kellyanne	Judgment[7]	pos[7]	
8-7	415-421	Conway	Judgment[7]	pos[7]	
8-8	422-425	the	Judgment[7]	pos[7]	
8-9	426-431	first	Judgment[7]	pos[7]	
8-10	432-438	female	Judgment[7]	pos[7]	
8-11	439-447	campaign	Judgment[7]	pos[7]	
8-12	448-455	manager	Judgment[7]	pos[7]	
8-13	456-458	in	_	_	
8-14	459-460	a	_	_	
8-15	461-473	Presidential	_	_	
8-16	474-482	campaign	_	_	
8-17	482-483	.	_	_	

#Text=She is being credited for steering Trump to victory.
9-1	484-487	She	_	_	
9-2	488-490	is	_	_	
9-3	491-496	being	_	_	
