#FORMAT=WebAnno TSV 3.1


#Text=He won the same way you won your battles.
1-1	0-2	He	
1-2	3-6	won	
1-3	7-10	the	
1-4	11-15	same	
1-5	16-19	way	
1-6	20-23	you	
1-7	24-27	won	
1-8	28-32	your	
1-9	33-40	battles	
1-10	40-41	.	

#Text=He out smarted them all!
2-1	42-44	He	
2-2	45-48	out	
2-3	49-56	smarted	
2-4	57-61	them	
2-5	62-65	all	
2-6	65-66	!	

#Text=Sometimes as you know Marie the one with the wits gets the high chair and the coin!
3-1	66-75	Sometimes	
3-2	76-78	as	
3-3	79-82	you	
3-4	83-87	know	
3-5	88-93	Marie	
3-6	94-97	the	
3-7	98-101	one	
3-8	102-106	with	
3-9	107-110	the	
3-10	111-115	wits	
3-11	116-120	gets	
3-12	121-124	the	
3-13	125-129	high	
3-14	130-135	chair	
3-15	136-139	and	
3-16	140-143	the	
3-17	144-148	coin	
3-18	148-149	!	
