#FORMAT=WebAnno TSV 3.1


#Text=I'm sorry why was anyone surprised when the surplus was exactly what was forecast in 2011 and delivered in exactly the same manner, by the sale of GM stock and prudent budgetary constraints across all departments?
1-1	0-3	I'm	
1-2	4-9	sorry	
1-3	10-13	why	
1-4	14-17	was	
1-5	18-24	anyone	
1-6	25-34	surprised	
1-7	35-39	when	
1-8	40-43	the	
1-9	44-51	surplus	
1-10	52-55	was	
1-11	56-63	exactly	
1-12	64-68	what	
1-13	69-72	was	
1-14	73-81	forecast	
1-15	82-84	in	
1-16	85-89	2011	
1-17	90-93	and	
1-18	94-103	delivered	
1-19	104-106	in	
1-20	107-114	exactly	
1-21	115-118	the	
1-22	119-123	same	
1-23	124-130	manner	
1-24	130-131	,	
1-25	132-134	by	
1-26	135-138	the	
1-27	139-143	sale	
1-28	144-146	of	
1-29	147-149	GM	
1-30	150-155	stock	
1-31	156-159	and	
1-32	160-167	prudent	
1-33	168-177	budgetary	
1-34	178-189	constraints	
1-35	190-196	across	
1-36	197-200	all	
1-37	201-212	departments	
1-38	212-213	?	
