#FORMAT=WebAnno TSV 3.1


#Text=Specials thanks to all the GM feminist writers who helped Trump win!
1-1	0-8	Specials	
1-2	9-15	thanks	
1-3	16-18	to	
1-4	19-22	all	
1-5	23-26	the	
1-6	27-29	GM	
1-7	30-38	feminist	
1-8	39-46	writers	
1-9	47-50	who	
1-10	51-57	helped	
1-11	58-63	Trump	
1-12	64-67	win	
1-13	67-68	!	

#Text=Also the real journalists in Canada: Steph Molyneux, Milo Yiannopoulos, Brandon Martinez, Dan Dicks and Lauren Southern.
2-1	69-73	Also	
2-2	74-77	the	
2-3	78-82	real	
2-4	83-94	journalists	
2-5	95-97	in	
2-6	98-104	Canada	
2-7	104-105	:	
2-8	106-111	Steph	
2-9	112-120	Molyneux	
2-10	120-121	,	
2-11	122-126	Milo	
2-12	127-139	Yiannopoulos	
2-13	139-140	,	
2-14	141-148	Brandon	
2-15	149-157	Martinez	
2-16	157-158	,	
2-17	159-162	Dan	
2-18	163-168	Dicks	
2-19	169-172	and	
2-20	173-179	Lauren	
2-21	180-188	Southern	
2-22	188-189	.	
