#FORMAT=WebAnno TSV 3.1


#Text=your headlines could be better.
1-1	0-4	your	
1-2	5-14	headlines	
1-3	15-20	could	
1-4	21-23	be	
1-5	24-30	better	
1-6	30-31	.	

#Text=If you are trying to get the attention of grade seven kids you are right on.
2-1	32-34	If	
2-2	35-38	you	
2-3	39-42	are	
2-4	43-49	trying	
2-5	50-52	to	
2-6	53-56	get	
2-7	57-60	the	
2-8	61-70	attention	
2-9	71-73	of	
2-10	74-79	grade	
2-11	80-85	seven	
2-12	86-90	kids	
2-13	91-94	you	
2-14	95-98	are	
2-15	99-104	right	
2-16	105-107	on	
2-17	107-108	.	
