#FORMAT=WebAnno TSV 3.1


#Text=Why the inflammatory language?
1-1	0-3	Why	
1-2	4-7	the	
1-3	8-20	inflammatory	
1-4	21-29	language	
1-5	29-30	?	

#Text=The virtue signalling that accompanies such pablum rarely has a purchase on the facts.Appeals to race are the new version of Godwin's Law.
2-1	31-34	The	
2-2	35-41	virtue	
2-3	42-52	signalling	
2-4	53-57	that	
2-5	58-69	accompanies	
2-6	70-74	such	
2-7	75-81	pablum	
2-8	82-88	rarely	
2-9	89-92	has	
2-10	93-94	a	
2-11	95-103	purchase	
2-12	104-106	on	
2-13	107-110	the	
2-14	111-124	facts.Appeals	
2-15	125-127	to	
2-16	128-132	race	
2-17	133-136	are	
2-18	137-140	the	
2-19	141-144	new	
2-20	145-152	version	
2-21	153-155	of	
2-22	156-164	Godwin's	
2-23	165-168	Law	
2-24	168-169	.	
