#FORMAT=WebAnno TSV 3.1


#Text=Here's a good story about Russian disinformation and the West for all you trolls out there  check out Ostrovskyaug's 'For Putin, Disinformation Is Power' in the New York Times, 5 Aug 2016.
1-1	0-6	Here's	
1-2	7-8	a	
1-3	9-13	good	
1-4	14-19	story	
1-5	20-25	about	
1-6	26-33	Russian	
1-7	34-48	disinformation	
1-8	49-52	and	
1-9	53-56	the	
1-10	57-61	West	
1-11	62-65	for	
1-12	66-69	all	
1-13	70-73	you	
1-14	74-80	trolls	
1-15	81-84	out	
1-16	85-90	there	
1-17	92-97	check	
1-18	98-101	out	
1-19	102-116	Ostrovskyaug's	
1-20	117-118	'	
1-21	118-121	For	
1-22	122-127	Putin	
1-23	127-128	,	
1-24	129-143	Disinformation	
1-25	144-146	Is	
1-26	147-152	Power	
1-27	152-153	'	
1-28	154-156	in	
1-29	157-160	the	
1-30	161-164	New	
1-31	165-169	York	
1-32	170-175	Times	
1-33	175-176	,	
1-34	177-178	5	
1-35	179-182	Aug	
1-36	183-187	2016	
1-37	187-188	.	
