#FORMAT=WebAnno TSV 3.1


#Text=Harper will be recorded in the still short history of our nation as our worst and most destructive prime minister.
1-1	0-6	Harper	
1-2	7-11	will	
1-3	12-14	be	
1-4	15-23	recorded	
1-5	24-26	in	
1-6	27-30	the	
1-7	31-36	still	
1-8	37-42	short	
1-9	43-50	history	
1-10	51-53	of	
1-11	54-57	our	
1-12	58-64	nation	
1-13	65-67	as	
1-14	68-71	our	
1-15	72-77	worst	
1-16	78-81	and	
1-17	82-86	most	
1-18	87-98	destructive	
1-19	99-104	prime	
1-20	105-113	minister	
1-21	113-114	.	
