#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Nothing the Conservatives do surprises me.
1-1	0-7	Nothing	NEG	
1-2	8-11	the	SCOPE[2]|FOCUS[3]	
1-3	12-25	Conservatives	SCOPE[2]|FOCUS[3]	
1-4	26-28	do	SCOPE[2]	
1-5	29-38	surprises	SCOPE[2]	
1-6	39-41	me	SCOPE[2]	
1-7	41-42	.	_	

#Text=We're expected to forget their illegal activities like Robocalling to deflect voters away from voting to the incompetence and outright falsehoods around the Duffy trial.
2-1	43-48	We're	_	
2-2	49-57	expected	_	
2-3	58-60	to	_	
2-4	61-67	forget	_	
2-5	68-73	their	_	
2-6	74-81	illegal	_	
2-7	82-92	activities	_	
2-8	93-97	like	_	
2-9	98-109	Robocalling	_	
2-10	110-112	to	_	
2-11	113-120	deflect	_	
2-12	121-127	voters	_	
2-13	128-132	away	_	
2-14	133-137	from	_	
2-15	138-144	voting	_	
2-16	145-147	to	_	
2-17	148-151	the	_	
2-18	152-164	incompetence	_	
2-19	165-168	and	_	
2-20	169-177	outright	_	
2-21	178-188	falsehoods	_	
2-22	189-195	around	_	
2-23	196-199	the	_	
2-24	200-205	Duffy	_	
2-25	206-211	trial	_	
2-26	211-212	.	_	

#Text=It's time for a change of government.
3-1	213-217	It's	_	
3-2	218-222	time	_	
3-3	223-226	for	_	
3-4	227-228	a	_	
3-5	229-235	change	_	
3-6	236-238	of	_	
3-7	239-249	government	_	
3-8	249-250	.	_	
