#FORMAT=WebAnno TSV 3.1


#Text=The professor lost all credibility by starting his piece with this line:'... introduction of the 15-per-cent tax followed several years of news stories decrying the alleged effect of buyers from Mainland China on affordability in the Vancouver housing market...'
1-1	0-3	The	
1-2	4-13	professor	
1-3	14-18	lost	
1-4	19-22	all	
1-5	23-34	credibility	
1-6	35-37	by	
1-7	38-46	starting	
1-8	47-50	his	
1-9	51-56	piece	
1-10	57-61	with	
1-11	62-66	this	
1-12	67-71	line	
1-13	71-72	:	
1-14	72-73	'	
1-15	73-74	.	
1-16	74-75	.	
1-17	75-76	.	
1-18	77-89	introduction	
1-19	90-92	of	
1-20	93-96	the	
1-21	97-99	15	
1-22	99-100	-	
1-23	100-108	per-cent	
1-24	109-112	tax	
1-25	113-121	followed	
1-26	122-129	several	
1-27	130-135	years	
1-28	136-138	of	
1-29	139-143	news	
1-30	144-151	stories	
1-31	152-160	decrying	
1-32	161-164	the	
1-33	165-172	alleged	
1-34	173-179	effect	
1-35	180-182	of	
1-36	183-189	buyers	
1-37	190-194	from	
1-38	195-203	Mainland	
1-39	204-209	China	
1-40	210-212	on	
1-41	213-226	affordability	
1-42	227-229	in	
1-43	230-233	the	
1-44	234-243	Vancouver	
1-45	244-251	housing	
1-46	252-258	market	
1-47	258-259	.	
1-48	259-260	.	
1-49	260-261	.	
1-50	261-262	'	

#Text=What?'
2-1	262-266	What	
2-2	266-267	?	
2-3	267-268	'	

#Text=alleged effect of buyers from Mainland China on affordability''ALLEGED'?
3-1	268-275	alleged	
3-2	276-282	effect	
3-3	283-285	of	
3-4	286-292	buyers	
3-5	293-297	from	
3-6	298-306	Mainland	
3-7	307-312	China	
3-8	313-315	on	
3-9	316-329	affordability	
3-10	329-330	'	
3-11	330-331	'	
3-12	331-338	ALLEGED	
3-13	338-339	'	
3-14	339-340	?	

#Text=Hello?
4-1	340-345	Hello	
4-2	345-346	?	

#Text=That is like saying that it is alleged that Vancouver is located near mountains and it is alleged that Vancouver is located on the Pacific coast.
5-1	346-350	That	
5-2	351-353	is	
5-3	354-358	like	
5-4	359-365	saying	
5-5	366-370	that	
5-6	371-373	it	
5-7	374-376	is	
5-8	377-384	alleged	
5-9	385-389	that	
5-10	390-399	Vancouver	
5-11	400-402	is	
5-12	403-410	located	
5-13	411-415	near	
5-14	416-425	mountains	
5-15	426-429	and	
5-16	430-432	it	
5-17	433-435	is	
5-18	436-443	alleged	
5-19	444-448	that	
5-20	449-458	Vancouver	
5-21	459-461	is	
5-22	462-469	located	
5-23	470-472	on	
5-24	473-476	the	
5-25	477-484	Pacific	
5-26	485-490	coast	
5-27	490-491	.	
