#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Never been an atheist powerful civilization, and as we embrace atheism comes the rise of Islam.
1-1	0-5	Never	NEG	
1-2	6-10	been	SCOPE[2]	
1-3	11-13	an	SCOPE[2]|FOCUS[3]	
1-4	14-21	atheist	SCOPE[2]|FOCUS[3]	
1-5	22-30	powerful	SCOPE[2]|FOCUS[3]	
1-6	31-43	civilization	SCOPE[2]|FOCUS[3]	
1-7	43-44	,	_	
1-8	45-48	and	_	
1-9	49-51	as	_	
1-10	52-54	we	_	
1-11	55-62	embrace	_	
1-12	63-70	atheism	_	
1-13	71-76	comes	_	
1-14	77-80	the	_	
1-15	81-85	rise	_	
1-16	86-88	of	_	
1-17	89-94	Islam	_	
1-18	94-95	.	_	
