#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Silly Conservatives ,budgets balance themselves !
1-1	0-5	Silly	Judgment[1]|Judgment[2]	neg[1]|neg[2]	
1-2	6-19	Conservatives	Judgment[1]	neg[1]	
1-3	20-21	,	Judgment[1]	neg[1]	
1-4	21-28	budgets	Judgment[1]	neg[1]	
1-5	29-36	balance	Judgment[1]	neg[1]	
1-6	37-47	themselves	Judgment[1]	neg[1]	
1-7	48-49	!	_	_	

#Text=Everybody knows that Canadian taxpayers are just itching to give more of their money to the Liberals to make the rest of Canada into Qntariowe.
2-1	50-59	Everybody	_	_	
2-2	60-65	knows	_	_	
2-3	66-70	that	_	_	
2-4	71-79	Canadian	_	_	
2-5	80-89	taxpayers	_	_	
2-6	90-93	are	_	_	
2-7	94-98	just	_	_	
2-8	99-106	itching	Judgment[3]	neg[3]	
2-9	107-109	to	Judgment[3]	neg[3]	
2-10	110-114	give	Judgment[3]	neg[3]	
2-11	115-119	more	Judgment[3]	neg[3]	
2-12	120-122	of	Judgment[3]	neg[3]	
2-13	123-128	their	Judgment[3]	neg[3]	
2-14	129-134	money	Judgment[3]	neg[3]	
2-15	135-137	to	_	_	
2-16	138-141	the	_	_	
2-17	142-150	Liberals	_	_	
2-18	151-153	to	_	_	
2-19	154-158	make	_	_	
2-20	159-162	the	_	_	
2-21	163-167	rest	_	_	
2-22	168-170	of	_	_	
2-23	171-177	Canada	_	_	
2-24	178-182	into	_	_	
2-25	183-192	Qntariowe	Appreciation	neg	
2-26	192-193	.	_	_	
