#FORMAT=WebAnno TSV 3.1


#Text=Sarah Palin might very well have been the first female president, had she decided to run.
1-1	0-5	Sarah	
1-2	6-11	Palin	
1-3	12-17	might	
1-4	18-22	very	
1-5	23-27	well	
1-6	28-32	have	
1-7	33-37	been	
1-8	38-41	the	
1-9	42-47	first	
1-10	48-54	female	
1-11	55-64	president	
1-12	64-65	,	
1-13	66-69	had	
1-14	70-73	she	
1-15	74-81	decided	
1-16	82-84	to	
1-17	85-88	run	
1-18	88-89	.	

#Text=Would you have voted for her though?
2-1	90-95	Would	
2-2	96-99	you	
2-3	100-104	have	
2-4	105-110	voted	
2-5	111-114	for	
2-6	115-118	her	
2-7	119-125	though	
2-8	125-126	?	

#Text=Thought so.
3-1	126-133	Thought	
3-2	134-136	so	
3-3	136-137	.	
