#FORMAT=WebAnno TSV 3.1


#Text=Trump is a marketing genius, you say?
1-1	0-5	Trump	
1-2	6-8	is	
1-3	9-10	a	
1-4	11-20	marketing	
1-5	21-27	genius	
1-6	27-28	,	
1-7	29-32	you	
1-8	33-36	say	
1-9	36-37	?	

#Text=Probably a Presidential genius as well?
2-1	38-46	Probably	
2-2	47-48	a	
2-3	49-61	Presidential	
2-4	62-68	genius	
2-5	69-71	as	
2-6	72-76	well	
2-7	76-77	?	

#Text=He will probably dazzle the socks off you as you seem to consistently bury him but he just keeps coming back.
3-1	78-80	He	
3-2	81-85	will	
3-3	86-94	probably	
3-4	95-101	dazzle	
3-5	102-105	the	
3-6	106-111	socks	
3-7	112-115	off	
3-8	116-119	you	
3-9	120-122	as	
3-10	123-126	you	
3-11	127-131	seem	
3-12	132-134	to	
3-13	135-147	consistently	
3-14	148-152	bury	
3-15	153-156	him	
3-16	157-160	but	
3-17	161-163	he	
3-18	164-168	just	
3-19	169-174	keeps	
3-20	175-181	coming	
3-21	182-186	back	
3-22	186-187	.	
