#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=Wow, Seiko's cost that much?
1-1	0-3	Wow	Affect	neg	_	_	
1-2	3-4	,	_	_	_	_	
1-3	5-12	Seiko's	_	_	_	_	
1-4	13-17	cost	Appreciation[2]	neg[2]	_	_	
1-5	18-22	that	Appreciation[2]	neg[2]	_	_	
1-6	23-27	much	Appreciation[2]	neg[2]	_	_	
1-7	27-28	?	_	_	_	_	

#Text=For half that you can buy a 75 year old Bulova, which will run another 75 years.
2-1	29-32	For	_	_	_	_	
2-2	33-37	half	Appreciation[3]	pos[3]	Force	up	
2-3	38-42	that	Appreciation[3]	pos[3]	_	_	
2-4	43-46	you	_	_	_	_	
2-5	47-50	can	_	_	_	_	
2-6	51-54	buy	_	_	_	_	
2-7	55-56	a	_	_	_	_	
2-8	57-59	75	_	_	_	_	
2-9	60-64	year	_	_	_	_	
2-10	65-68	old	_	_	_	_	
2-11	69-75	Bulova	_	_	_	_	
2-12	75-76	,	_	_	_	_	
2-13	77-82	which	_	_	_	_	
2-14	83-87	will	_	_	_	_	
2-15	88-91	run	Appreciation[4]	pos[4]	_	_	
2-16	92-99	another	Appreciation[4]	pos[4]	Force[2]|Force[3]	up[2]|up[3]	
2-17	100-102	75	Appreciation[4]	pos[4]	Force[2]	up[2]	
2-18	103-108	years	Appreciation[4]	pos[4]	_	_	
2-19	108-109	.	_	_	_	_	
