#FORMAT=WebAnno TSV 3.1


#Text=And their army is pretty small, which is a hallmark of left wing ideology.
1-1	0-3	And	
1-2	4-9	their	
1-3	10-14	army	
1-4	15-17	is	
1-5	18-24	pretty	
1-6	25-30	small	
1-7	30-31	,	
1-8	32-37	which	
1-9	38-40	is	
1-10	41-42	a	
1-11	43-51	hallmark	
1-12	52-54	of	
1-13	55-59	left	
1-14	60-64	wing	
1-15	65-73	ideology	
1-16	73-74	.	

#Text=Maybe they should go right wing and increase their defence expenditure a few times higher.
2-1	75-80	Maybe	
2-2	81-85	they	
2-3	86-92	should	
2-4	93-95	go	
2-5	96-101	right	
2-6	102-106	wing	
2-7	107-110	and	
2-8	111-119	increase	
2-9	120-125	their	
2-10	126-133	defence	
2-11	134-145	expenditure	
2-12	146-147	a	
2-13	148-151	few	
2-14	152-157	times	
2-15	158-164	higher	
2-16	164-165	.	
