#FORMAT=WebAnno TSV 3.1


#Text=How much time do you think The Donald will have for junior and Gerald Butts.
1-1	0-3	How	
1-2	4-8	much	
1-3	9-13	time	
1-4	14-16	do	
1-5	17-20	you	
1-6	21-26	think	
1-7	27-30	The	
1-8	31-37	Donald	
1-9	38-42	will	
1-10	43-47	have	
1-11	48-51	for	
1-12	52-58	junior	
1-13	59-62	and	
1-14	63-69	Gerald	
1-15	70-75	Butts	
1-16	75-76	.	

#Text=They just got their left wing Butts kicked.
2-1	78-82	They	
2-2	83-87	just	
2-3	88-91	got	
2-4	92-97	their	
2-5	98-102	left	
2-6	103-107	wing	
2-7	108-113	Butts	
2-8	114-120	kicked	
2-9	120-121	.	
