#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Why?
1-1	0-3	Why	Judgment	neg	
1-2	3-4	?	_	_	

#Text=Why would you spend the same amount to get less?
2-1	4-7	Why	Judgment[2]	neg[2]	
2-2	8-13	would	Judgment[2]	neg[2]	
2-3	14-17	you	Judgment[2]	neg[2]	
2-4	18-23	spend	Judgment[2]	neg[2]	
2-5	24-27	the	Judgment[2]	neg[2]	
2-6	28-32	same	Judgment[2]	neg[2]	
2-7	33-39	amount	Judgment[2]	neg[2]	
2-8	40-42	to	Judgment[2]	neg[2]	
2-9	43-46	get	Judgment[2]	neg[2]	
2-10	47-51	less	Judgment[2]	neg[2]	
2-11	51-52	?	_	_	
