#FORMAT=WebAnno TSV 3.1


#Text=A trump presidency will mean a starker more dangerous world, as nations realise the US is going all isolationist.
1-1	0-1	A	
1-2	2-7	trump	
1-3	8-18	presidency	
1-4	19-23	will	
1-5	24-28	mean	
1-6	29-30	a	
1-7	31-38	starker	
1-8	39-43	more	
1-9	44-53	dangerous	
1-10	54-59	world	
1-11	59-60	,	
1-12	61-63	as	
1-13	64-71	nations	
1-14	72-79	realise	
1-15	80-83	the	
1-16	84-86	US	
1-17	87-89	is	
1-18	90-95	going	
1-19	96-99	all	
1-20	100-112	isolationist	
1-21	112-113	.	

#Text=His 'every man for himself' ideology will create a vacuum in world leadership which will be filled by someone like China / Russia or left open, with the world turning into more of an unchecked free for all.
2-1	114-117	His	
2-2	118-119	'	
2-3	119-124	every	
2-4	125-128	man	
2-5	129-132	for	
2-6	133-140	himself	
2-7	140-141	'	
2-8	142-150	ideology	
2-9	151-155	will	
2-10	156-162	create	
2-11	163-164	a	
2-12	165-171	vacuum	
2-13	172-174	in	
2-14	175-180	world	
2-15	181-191	leadership	
2-16	192-197	which	
2-17	198-202	will	
2-18	203-205	be	
2-19	206-212	filled	
2-20	213-215	by	
2-21	216-223	someone	
2-22	224-228	like	
2-23	229-234	China	
2-24	235-236	/	
2-25	237-243	Russia	
2-26	244-246	or	
2-27	247-251	left	
2-28	252-256	open	
2-29	256-257	,	
2-30	258-262	with	
2-31	263-266	the	
2-32	267-272	world	
2-33	273-280	turning	
2-34	281-285	into	
2-35	286-290	more	
2-36	291-293	of	
2-37	294-296	an	
2-38	297-306	unchecked	
2-39	307-311	free	
2-40	312-315	for	
2-41	316-319	all	
2-42	319-320	.	

#Text=But lets wait and see.
3-1	321-324	But	
3-2	325-329	lets	
3-3	330-334	wait	
3-4	335-338	and	
3-5	339-342	see	
3-6	342-343	.	

#Text=Interesting times ahead.
4-1	344-355	Interesting	
4-2	356-361	times	
4-3	362-367	ahead	
4-4	367-368	.	

#Text=The old Chinese curse is upon us.
5-1	369-372	The	
5-2	373-376	old	
5-3	377-384	Chinese	
5-4	385-390	curse	
5-5	391-393	is	
5-6	394-398	upon	
5-7	399-401	us	
5-8	401-402	.	
