#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Not surprised by the surprise on the economy.
1-1	0-3	Not	NEG	
1-2	4-13	surprised	SCOPE[2]	
1-3	14-16	by	SCOPE[2]	
1-4	17-20	the	SCOPE[2]	
1-5	21-29	surprise	SCOPE[2]	
1-6	30-32	on	SCOPE[2]	
1-7	33-36	the	SCOPE[2]|FOCUS[3]	
1-8	37-44	economy	SCOPE[2]|FOCUS[3]	
1-9	44-45	.	_	

#Text=That covers Harper's economy point.
2-1	46-50	That	_	
2-2	51-57	covers	_	
2-3	58-66	Harper's	_	
2-4	67-74	economy	_	
2-5	75-80	point	_	
2-6	80-81	.	_	

#Text=What do you think Harper's surprise on fear will be?
3-1	82-86	What	_	
3-2	87-89	do	_	
3-3	90-93	you	_	
3-4	94-99	think	_	
3-5	100-108	Harper's	_	
3-6	109-117	surprise	_	
3-7	118-120	on	_	
3-8	121-125	fear	_	
3-9	126-130	will	_	
3-10	131-133	be	_	
3-11	133-134	?	_	

#Text=That will come closer to the election, the big October surprise.
4-1	135-139	That	_	
4-2	140-144	will	_	
4-3	145-149	come	_	
4-4	150-156	closer	_	
4-5	157-159	to	_	
4-6	160-163	the	_	
4-7	164-172	election	_	
4-8	172-173	,	_	
4-9	174-177	the	_	
4-10	178-181	big	_	
4-11	182-189	October	_	
4-12	190-198	surprise	_	
4-13	198-199	.	_	
