#FORMAT=WebAnno TSV 3.1


#Text=What a joke bringing up the race card.
1-1	0-4	What	
1-2	5-6	a	
1-3	7-11	joke	
1-4	12-20	bringing	
1-5	21-23	up	
1-6	24-27	the	
1-7	28-32	race	
1-8	33-37	card	
1-9	37-38	.	

#Text=This a the first step in stopping money laundering coming out of China and leave at that!!!
2-1	39-43	This	
2-2	44-45	a	
2-3	46-49	the	
2-4	50-55	first	
2-5	56-60	step	
2-6	61-63	in	
2-7	64-72	stopping	
2-8	73-78	money	
2-9	79-89	laundering	
2-10	90-96	coming	
2-11	97-100	out	
2-12	101-103	of	
2-13	104-109	China	
2-14	110-113	and	
2-15	114-119	leave	
2-16	120-122	at	
2-17	123-127	that	
2-18	127-128	!	
2-19	128-129	!	
2-20	129-130	!	
