#FORMAT=WebAnno TSV 3.1


#Text=The title of this article is all wrong.
1-1	0-3	The	
1-2	4-9	title	
1-3	10-12	of	
1-4	13-17	this	
1-5	18-25	article	
1-6	26-28	is	
1-7	29-32	all	
1-8	33-38	wrong	
1-9	38-39	.	

#Text=It should be....
2-1	44-46	It	
2-2	47-53	should	
2-3	54-56	be	
2-4	56-57	.	
2-5	57-58	.	
2-6	58-59	.	
2-7	59-60	.	

#Text=As usual,  NDP thinks big with other people money.
3-1	67-69	As	
3-2	70-75	usual	
3-3	75-76	,	
3-4	78-81	NDP	
3-5	82-88	thinks	
3-6	89-92	big	
3-7	93-97	with	
3-8	98-103	other	
3-9	104-110	people	
3-10	111-116	money	
3-11	116-117	.	
