#FORMAT=WebAnno TSV 3.1


#Text=The real surprise is the Liberal stooge Simpson is upset we have a surplus.
1-1	0-3	The	
1-2	4-8	real	
1-3	9-17	surprise	
1-4	18-20	is	
1-5	21-24	the	
1-6	25-32	Liberal	
1-7	33-39	stooge	
1-8	40-47	Simpson	
1-9	48-50	is	
1-10	51-56	upset	
1-11	57-59	we	
1-12	60-64	have	
1-13	65-66	a	
1-14	67-74	surplus	
1-15	74-75	.	

#Text=Get a new rug you Liberal stooge.
2-1	76-79	Get	
2-2	80-81	a	
2-3	82-85	new	
2-4	86-89	rug	
2-5	90-93	you	
2-6	94-101	Liberal	
2-7	102-108	stooge	
2-8	108-109	.	
