#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Love my Classic and it's 800 plus 'albums'.
1-1	0-4	Love	Appreciation	pos	
1-2	5-7	my	_	_	
1-3	8-15	Classic	_	_	
1-4	16-19	and	_	_	
1-5	20-24	it's	_	_	
1-6	25-28	800	_	_	
1-7	29-33	plus	_	_	
1-8	34-35	'	_	_	
1-9	35-41	albums	_	_	
1-10	41-42	'	_	_	
1-11	42-43	.	_	_	

#Text=Don't love the iTunes program.
2-1	44-49	Don't	Appreciation[2]	neg[2]	
2-2	50-54	love	Appreciation[2]	neg[2]	
2-3	55-58	the	_	_	
2-4	59-65	iTunes	_	_	
2-5	66-73	program	_	_	
2-6	73-74	.	_	_	
