#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Hello,,,, are you lost, --- Drivers without any insurance, ,,, committing acts, of tax fraud, sorry did I wake anyone,,, ?
1-1	0-5	Hello	Judgment	neg	
1-2	5-6	,	_	_	
1-3	6-7	,	_	_	
1-4	7-8	,	_	_	
1-5	8-9	,	_	_	
1-6	10-13	are	Judgment[2]	neg[2]	
1-7	14-17	you	Judgment[2]	neg[2]	
1-8	18-22	lost	Judgment[2]	neg[2]	
1-9	22-23	,	_	_	
1-10	24-25	-	_	_	
1-11	25-26	-	_	_	
1-12	26-27	-	_	_	
1-13	28-35	Drivers	_	_	
1-14	36-43	without	Judgment[3]	neg[3]	
1-15	44-47	any	Judgment[3]	neg[3]	
1-16	48-57	insurance	Judgment[3]	neg[3]	
1-17	57-58	,	_	_	
1-18	59-60	,	_	_	
1-19	60-61	,	_	_	
1-20	61-62	,	_	_	
1-21	63-73	committing	Judgment[4]	neg[4]	
1-22	74-78	acts	Judgment[4]	neg[4]	
1-23	78-79	,	Judgment[4]	neg[4]	
1-24	80-82	of	Judgment[4]	neg[4]	
1-25	83-86	tax	Judgment[4]	neg[4]	
1-26	87-92	fraud	Judgment[4]	neg[4]	
1-27	92-93	,	_	_	
1-28	94-99	sorry	_	_	
1-29	100-103	did	Judgment[5]	neg[5]	
1-30	104-105	I	Judgment[5]	neg[5]	
1-31	106-110	wake	Judgment[5]	neg[5]	
1-32	111-117	anyone	Judgment[5]	neg[5]	
1-33	117-118	,	_	_	
1-34	118-119	,	_	_	
1-35	119-120	,	_	_	
1-36	121-122	?	_	_	

#Text=,,
2-1	122-123	,	_	_	
2-2	123-124	,	_	_	
