#FORMAT=WebAnno TSV 3.1


#Text=There may be a few good suggestions but like most (all anonymous BTW) G&M opinionations, it is ideology-based and therefore defective.
1-1	0-5	There	
1-2	6-9	may	
1-3	10-12	be	
1-4	13-14	a	
1-5	15-18	few	
1-6	19-23	good	
1-7	24-35	suggestions	
1-8	36-39	but	
1-9	40-44	like	
1-10	45-49	most	
1-11	50-51	(	
1-12	51-54	all	
1-13	55-64	anonymous	
1-14	65-68	BTW	
1-15	68-69	)	
1-16	70-71	G	
1-17	71-72	&	
1-18	72-73	M	
1-19	74-87	opinionations	
1-20	87-88	,	
1-21	89-91	it	
1-22	92-94	is	
1-23	95-109	ideology-based	
1-24	110-113	and	
1-25	114-123	therefore	
1-26	124-133	defective	
1-27	133-134	.	
