#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Sad but your actually need some kind of border patrols and though Canada is a rich country refugees need government services that must be planned for.
1-1	0-3	Sad	Affect	neg	
1-2	4-7	but	_	_	
1-3	8-12	your	_	_	
1-4	13-21	actually	Appreciation[2]	pos[2]	
1-5	22-26	need	Appreciation[2]	pos[2]	
1-6	27-31	some	Appreciation[2]	pos[2]	
1-7	32-36	kind	Appreciation[2]	pos[2]	
1-8	37-39	of	Appreciation[2]	pos[2]	
1-9	40-46	border	Appreciation[2]	pos[2]	
1-10	47-54	patrols	Appreciation[2]	pos[2]	
1-11	55-58	and	_	_	
1-12	59-65	though	_	_	
1-13	66-72	Canada	_	_	
1-14	73-75	is	_	_	
1-15	76-77	a	_	_	
1-16	78-82	rich	Appreciation	pos	
1-17	83-90	country	_	_	
1-18	91-99	refugees	_	_	
1-19	100-104	need	_	_	
1-20	105-115	government	_	_	
1-21	116-124	services	_	_	
1-22	125-129	that	_	_	
1-23	130-134	must	Appreciation[4]	pos[4]	
1-24	135-137	be	Appreciation[4]	pos[4]	
1-25	138-145	planned	Appreciation[4]	pos[4]	
1-26	146-149	for	_	_	
1-27	149-150	.	_	_	
