#FORMAT=WebAnno TSV 3.1


#Text=Most provinces can just jack up their sales tax by 2% to make up for the federal reduction, but they prefer the feds to increase taxes and pass them the money.
1-1	0-4	Most	
1-2	5-14	provinces	
1-3	15-18	can	
1-4	19-23	just	
1-5	24-28	jack	
1-6	29-31	up	
1-7	32-37	their	
1-8	38-43	sales	
1-9	44-47	tax	
1-10	48-50	by	
1-11	51-53	2%	
1-12	54-56	to	
1-13	57-61	make	
1-14	62-64	up	
1-15	65-68	for	
1-16	69-72	the	
1-17	73-80	federal	
1-18	81-90	reduction	
1-19	90-91	,	
1-20	92-95	but	
1-21	96-100	they	
1-22	101-107	prefer	
1-23	108-111	the	
1-24	112-116	feds	
1-25	117-119	to	
1-26	120-128	increase	
1-27	129-134	taxes	
1-28	135-138	and	
1-29	139-143	pass	
1-30	144-148	them	
1-31	149-152	the	
1-32	153-158	money	
1-33	158-159	.	
