#FORMAT=WebAnno TSV 3.1


#Text=So the world ganged up on Clinton did it?
1-1	0-2	So	
1-2	3-6	the	
1-3	7-12	world	
1-4	13-19	ganged	
1-5	20-22	up	
1-6	23-25	on	
1-7	26-33	Clinton	
1-8	34-37	did	
1-9	38-40	it	
1-10	40-41	?	

#Text=And the globe and so many other media were really nice on trump?
2-1	42-45	And	
2-2	46-49	the	
2-3	50-55	globe	
2-4	56-59	and	
2-5	60-62	so	
2-6	63-67	many	
2-7	68-73	other	
2-8	74-79	media	
2-9	80-84	were	
2-10	85-91	really	
2-11	92-96	nice	
2-12	97-99	on	
2-13	100-105	trump	
2-14	105-106	?	

#Text=Get with it.
3-1	107-110	Get	
3-2	111-115	with	
3-3	116-118	it	
3-4	118-119	.	

#Text=The globe seems to think we are stupid.
4-1	120-123	The	
4-2	124-129	globe	
4-3	130-135	seems	
4-4	136-138	to	
4-5	139-144	think	
4-6	145-147	we	
4-7	148-151	are	
4-8	152-158	stupid	
4-9	158-159	.	
